npsn,nama_sekolah,alamat,kelurahan,kecamatan,jumlah_siswa,jumlah_guru,kepala_sekolah,telp_sekolah,akreditasi,latitude,longitude
20102193,SMA Negeri 47,Jl. Delman Utama I,Kebayoran Lama Utara,Kebayoran Lama,864,55,Drs. H. marti Budiono,021 7260904,A,-6.247169,106.773109
20102210,SMA Negeri 46,Jl. Mesjid Darussalam,Gandaria Utara,Kebayoran Baru,797,52,"WANITO HANDOYO,SPd.MPd",021 7246695,A,-6.258005,106.794807
20102211,SMA Negeri 43,Jl. Minangkabau Dalam,Menteng Atas,Setia Budi,623,35,"Dra. Rusmala Nainggolan, M.Pd",021 8297076,A,-6.216263,106.841652
20102212,SMA Negeri 38,Jl. Raya Lenteng Agung,Lenteng Agung,Jagakarsa,754,45,"Dra. SRI RAHMINA UTAMI, Kons",021 7270865,A,-6.318370,106.834976
20102213,SMA Negeri 37,Jl. H No.40 Kebon Baru,Kebon Baru,T e b e t,502,45,"Drs Abdul Gani, MM",021 8296058,A,-6.231688,106.859108
20102214,SMA Negeri 34,Jl. Margasatwa Raya No. 1,Pondok Labu,Cilandak,576,56,"Taga Radja Gah, M.Pd",021 7690064,A,-6.313400,106.794800
20102215,SMA Negeri 32,Jl. Panjang Komp. Sekneg Baru Cidodol,Grogol Selatan,Kebayoran Lama,570,46,"Sugiyanti, S.Pd",021 7395532,A,-6.214111,106.784851
20102216,SMA Negeri 3,Jl. Setiabudi II,Setia Budi,Setia Budi,990,50,"Dra. Ratna Budiarti, M. Biomed",021 5254663,A,-6.181516,106.797882
20102217,SMA Negeri 29,Jl. Kramat No.6,Kebayoran Lama Utara,Kebayoran Lama,237,52,Dra. CAROL TITALEY,021 7395831,A,-6.214282,106.784256
20102218,SMA Negeri 26,Jl. Tebet Barat IV,Tebet Barat,T e b e t,515,33,"Drs. Sucipto, M.Si",021 8294645,A,-6.233409,106.848518
20102219,SMA Negeri 109,Jl. Gardu No. 31,Srengseng Sawah,Jagakarsa,753,48,"TUTI MARYATI, M.Pd.",021 7271116,A,-6.334408,106.837524
20102230,SMA Negeri 108,Jl. Kesadaran Ulujami Raya,Pesanggrahan,Pesanggrahan,545,36,"SETIAWATI, M.Pd",021 7376876,A,-6.239197,106.782593
20102231,SMAK Tirta Marta BPK Penabur,Jl. Sekolah Kencana IV,Pondok Pinang,Kebayoran Lama,0,26,Dra. Kristiena Ekowati,021 7656615,A,-6.284602,106.788078
20102562,SMA Negeri 97,Jl. Brigif 2,Ciganjur,Jagakarsa,625,70,"ARIS GUNANDAR, DRS, MM",021 7270960,A,-6.323488,106.804169
20102563,SMA Negeri 90,Jl. Sabar Petukangan,Petukangan Selatan,Pesanggrahan,1003,63,Dra. MAIMUNAH,021 7341866,A,-6.239847,106.751930
20102564,SMA Negeri 87,Jl. Mawar II Bintaro,Pesanggrahan,Pesanggrahan,465,45,Drs. Waridin,021 73881969,A,-6.286452,106.761200
20102565,SMA Negeri 86,Jl. Bintaro Permai IV No. 36,Bintaro,Pesanggrahan,640,49,Suharti Latifah,021 7341362,A,-6.262228,106.761284
20102566,SMA Negeri 82,Jl. Daha II/15a,Selong,Kebayoran Baru,594,37,,021 7246413,A,-6.220084,106.802162
20102568,SMA Negeri 8,Jl. Taman Bukitduri,Bukit Duri,T e b e t,1046,58,AGUSMAN ANWAR,021 8295455,A,-6.217647,106.859200
20102569,SMA Negeri 74,Jl. Dharma Putra XI,Kebayoran Lama Selatan,Kebayoran Lama,733,32,"Dra. Markorijasti, M.Si.",021 7260377,A,-6.250452,106.785881
20102570,SMA Negeri 70,Jl. Bulungan Blok C,Kramat Pela,Kebayoran Baru,706,51,JAYATIN. S.Pd.,021 7222667,A,-6.241720,106.796951
20102571,SMA Negeri 66,Jl. Bango III,Pondok Labu,Cilandak,504,49,KUSNYOTO,021 7691403,A,-6.306600,106.805000
20102572,SMA Negeri 63,Jl. AMD Manunggal V/57,Petukangan Utara,Pesanggrahan,641,42,"Dr. Saryono, M.Si",021 7354473,A,-6.228729,106.749008
20102573,SMA Negeri 60,Jl. Kemang Timur I No.6,Bangka,Mampang Prapatan,564,46,"Drs. SUGIYONO, M.Pd, M.Si",021 7992054,A,-6.237490,106.826141
20102574,SMA Negeri 6,Jl. Mahakam I/2 Blok C,Kramat Pela,Kebayoran Baru,633,60,Nurhayati,"021 7208762, 021 7211067",A,-6.217695,106.800735
20102575,SMA Negeri 55,Jl. Minyak Raya,Duren Tiga,Pancoran,639,44,,021 7996120,A,-6.247558,106.827766
20102576,SMA Negeri Ragunan Jakarta,Komplek Gelora Ragunan,Ragunan,Pasar Minggu,0,20,"DRS. H. SUHARSONO, MM",021 7801662,A,-6.292435,106.828598
20102592,SMA Negeri 49,Jl. Pepaya No. 9,Jagakarsa,Jagakarsa,430,47,RACHMAT ABDUS SYUKUR,021 7270167,A,-6.324615,106.819748
20103166,SMA Perguruan Rakyat 2,Jl. AD. Lampiri Raya,Pondok Kelapa,Duren Sawit,274,34,NASRUL NARUN,021 8617241,A,-6.239645,106.929695
20103167,SMA Perguruan Rakyat 3,Jl. Pahlawan Revolusi No. 12,Pondok Bambu,Duren Sawit,194,18,"ENNI, S.Pd.",021 8612612,A,-6.228403,106.898491
20103169,SMA PGRI 1,Jl. Cipinang Muara I,Pondok Bambu,Duren Sawit,11,8,Ir. LINDA AGUSTARINA,021 86610048,B,-6.228540,106.890923
20103170,SMA PGRI 10 Jakarta,Jl. Rawa Kuning Gg. Mushollah Al Ikhsan No. 119,Pulo Gebang,Cakung,27,10,SAUR HUTABARAT S.PD,021 4801932,B,-6.212807,106.958282
20103171,SMA PGRI 24,Jl. SMP 157 No. 33,Lubang Buaya,Cipayung,207,29,"Drs.Syamsul Hadri,M.M",021 87799860,B,-6.295349,106.901901
20103173,SMA Pembangunan III YPI,Jl. Raya Bekasi Km 18,Jatinegara,Cakung,42,18,"H.MUHAMMAD SALEH Dj, Bc Hk",021 46835739,B,-6.197750,106.905235
20103174,SMA Pelita Tiga,Jln. Rawa Jaya I No. 43,Pisangan Timur,Pulo Gadung,284,23,"Marjono, S.Pd",021 4758953,A,-6.205758,106.874207
20103176,SMA Pangudi Rahayu,"Jl. Raya Bogor Km. 24,5",Cijantung,Pasar Rebo,62,16,YOSEPH K. SOFYANTO,021 87798114,B,-6.319949,106.863731
20103178,SMA Nurul Huda,Jl. Tipar Cakung Cakung Barat,Cakung Barat,Cakung,27,9,"DONNY KUSWARA,SIp","021 46824921, 021 46824690",B,-6.174395,106.938293
20103179,SMA Muhammadiyah 4,Jl. Dewi Sartika No.316a,Cawang,Kramat Jati,555,27,Drs. Ahmad Arif,021 80873736,A,-6.249500,106.866302
20103180,SMA Muhammadiyah 23,Jl. Delima II Blok C Perumnas Klender,Malaka Sari,Duren Sawit,473,28,Ahmad Akhyar. SE,021 8623414,A,-6.219309,106.928642
20103181,SMA Muhammadiyah 12,Jl. KH. Ahmad Dahlan No. 20,Kayu Manis,Matraman,187,24,SUHAIMI,021 8583014,A,-6.208618,106.863022
20103182,SMA PGRI 4 Jakarta,Jl. Raya Cipayung No. 8,Cipayung,Cipayung,306,26,"Ade Syamsudin, S.Pd",021 8441535,A,-6.332425,106.891998
20103183,SMA PKP,"Jl. Raya PKP, Kelapa Dua Wetan",Ciracas,Ciracas,388,45,"Drs. YAYAT WAHYAT HERIANTO, MM",021 8720627,A,-6.339942,106.888016
20103184,SMA PRIMA NUSANTARA,JL. PANGLIMA POLIM II/51 A,Pondok Kopi,Duren Sawit,0,13,,021 8602231,A,,
20103185,SMA Wijayakusuma,Jl. Mujahidin No. 17A,Rambutan,Ciracas,257,22,Drs. SUTOPO,021 8416056,A,-6.302989,106.872482
20103186,SMA Widya Manggala,Jl. Mujahidin Rt. 5/2 No. 17,Rambutan,Ciracas,59,17,"M.FAUZI RAMDHAN,MM",021 8403710,B,-6.295165,106.871162
20103187,SMA Villa Mas,Jl. Kayu Putih Utara III C,Kayu Putih,Pulo Gadung,30,7,"ABDUL WAHAB, S.Ag",021 47883820,B,-6.181191,106.897079
20103189,SMA Uswatun Hasanah,Jl. Depnaker No.2,Pinang Ranti,Makasar,78,19,"Jalaluddin, M.Si",021 8001152,A,-6.285273,106.882149
20103190,SMA Tunas Markatin,Jl. Waru No. 20B,Rawamangun,Pulo Gadung,127,17,,021 4707917,B,-6.195977,106.888222
20103192,SMA Teladan I,Jl. Madrasah No. 49,Susukan,Ciracas,146,21,"SYAFRIZAL, S.Pd",021 87797748,A,-6.305786,106.867828
20103194,SMA St. Alexius,Jl. Amal No. 2,Pondok Bambu,Duren Sawit,0,8,Drs. MARSUM. M.Pd,021 8624971,B,-6.226805,106.899330
20103195,SMA Sapta Karisma,Jl. Raya Pulogebang No.99 ( Thn 2010 hanya kls III,Pulo Gebang,Cakung,36,13,Mulyadi,021 4808048,B,,
20103196,SMA Santo Yoseph,Perumahan Metland Menteng Kav F 4,Ujung Menteng,Cakung,442,23,"DRS. SUSIANTARA, MM","021 98127859, 021 46836922",A,-6.181600,106.969810
20103197,SMA Santo Antonius,Jl. DI. Panjaitan Kav. 46,Rawa Bunga,Jatinegara,208,23,"Markus Tukiman, SCJ, MPd",021 8564968,A,,
20103198,SMA Santika,Jl. Bambu Wulung No. 2,Bambu Apus,Cipayung,80,10,"Maheswari, M.Pd",021 8446260,B,-6.315093,106.896744
20103200,SMA Pusaka I,Jl. Taruna Pahlawan Revolusi,Pondok Bambu,Duren Sawit,643,34,,021 8617192,A,-6.238693,106.894646
20103202,SMA Muhammadiyah 11,Jl. Balai Pustaka Barat No. 2,Rawamangun,Pulo Gadung,195,21,Drs. Slamet Sutopo,021 4700659,A,-6.200347,106.883018
20103203,SMA Don Bosco 2,Jl. Pulo Mas Barat V,Kayu Putih,Pulo Gadung,483,37,"Drs. F.X.Sulistiyono, M.M.",021 4714863,A,-6.176762,106.878998
20103204,SMA Diponegoro 2,Jl. Kayu Tinggi,Cakung Timur,Cakung,316,22,"HJ. LILIS ASSIYAH, S.Pd",021 4602291,A,-6.179810,106.947922
20103205,SMA Diponegoro 1,Jl. Sunan Giri No. 5,Rawamangun,Pulo Gadung,420,42,Hanny Atie Sumarni S.Pd,021 4757826,A,-6.195648,106.883064
20103206,SMA Dian Persada,Jl. Cipinang Baru I No.21,Cipinang,Pulo Gadung,72,12,"Heru Prasetyo, S.Pd",021 47863661,B,-6.203819,106.890915
20103208,SMA Dewi Sartika YBW,Jl. Kebon Nanas Utara II/23,Cipinang Cempedak,Jatinegara,114,18,Drs. M.G. Karyandra. A,021 8569429,B,-6.229438,106.871246
20103210,SMA Corpatarin,Jalan Raya Pondok kopi No.87,Pondok Kelapa,Duren Sawit,46,15,,021 8632953,A,-6.227315,106.943832
20103212,SMA Cahaya Sakti,Jl. Otista I No. 11,Bali Mester,Jatinegara,180,23,"Cecylia,S.Pd",021 8507577,A,-6.322123,106.888046
20103213,SMA Budi Mulia Utama,Jl. Rawa Jaya No. 35,Pondok Kopi,Duren Sawit,191,14,,021 8646316,A,-6.235569,106.943619
20103214,SMA Budhi Warman II,Jl. Raya Bogor Km. 28,Pekayon,Pasar Rebo,647,38,"Drs. Marzuqi, M.Si",021 8711833,A,-6.340680,106.864960
20103215,SMA Budhi Warman 1,Jl. Raya Bogor Km.19,Kramat Jati,Kramat Jati,130,36,,021 8096069,A,-6.279105,106.870399
20103216,SMA Budhaya II St. Agustinus,Jl. Raya Radin Inten II,Duren Sawit,Duren Sawit,317,21,"DRS. LEOCARDIA SUPARMAN, M.M",021 8630746,A,-6.229640,106.922424
20103218,SMA Budaya,Jl. Dermaga Baru Klender,Klender,Duren Sawit,8,12,"Nuryahya, M.MPd",021 8613152,B,-6.218961,106.906700
20103219,SMA Fons Vitae 1,Jalan Matraman Raya 129,Pal Meriem,Matraman,552,42,"Sr. M. THERESIE,OSF, S.Pd.M.Pd",021 8510733,A,-6.208660,106.859673
20103220,SMA Fransiskus 2,Jl. Bangunan Barat No. 29,Kayu Putih,Pulo Gadung,49,10,Drs. Gunawan Purbana,021 4759869,A,,
20103223,SMA Labschool Jakarta,Jl. Pemuda Komplek Uiversitas Negeri Jakarta,Rawamangun,Pulo Gadung,764,55,"Suparno, S.Pd",021 47860038 Ext. 111,A,-6.193447,106.880714
20103224,SMA Kristen Berkat,Jl. Jatinegara Timur No. 89,Bali Mester,Jatinegara,23,10,MIAN NAULI. SH,021 8197105,B,-6.222415,106.868279
20103227,SMA KAPIN,Jl. Raya Kalimalang,Pondok Kelapa,Duren Sawit,48,14,DRA. JAMILAH,021 8651158,A,-6.248900,106.938202
20103228,SMA K7 BPK Penabur,Jl. Cipinang Indah 2,Pondok Bambu,Duren Sawit,666,60,"SIWI TRI WAHYUNINGTYAS, M.Pd.",021 86606614,A,-6.236859,106.893112
20103229,SMA Jakarta Raya,Jl. Raya Pondok Gede No. 36,Lubang Buaya,Cipayung,22,13,Drs. Soleh,021 8407052,B,-6.288590,106.901001
20103230,SMA Islam PB. Soedirman,Jl. Raya Bogor Km. 24,Cijantung,Pasar Rebo,489,47,"Drs.H.SYAMSUDDIN HASIBUAN,MM",021 8400387,A,-6.314126,106.862289
20103231,SMA Malahayati,Jl. Bima No.3,Cijantung,Pasar Rebo,291,17,"Alip Arodabiro, M.Pd",021 8701743,A,-6.190000,106.510002
20103235,SMA Al Qudwah,Jl.Kayu Tinggi No.58,Cakung Timur,Cakung,41,14,"RIFAID, S.Pd, MM",021 92149753,C,-6.170252,106.949577
20103238,SMA Slamet Riyadi,Jl. Raya Bogor Km. 24,Cijantung,Pasar Rebo,462,22,"MB. NINA DWI E.P, DRA",021 8403545,A,-6.195168,106.852112
20103240,SMA BPS & K,Jl. Bina Karya No. 2,Pondok Kopi,Duren Sawit,201,11,Drs. MARYANTO,021 8648268,A,-6.230670,106.936569
20103241,SMA Yake,Jl.Raya Jatinegara Timur No. 61-65,Rawa Bunga,Jatinegara,203,17,Nurkaya Sitompul,021 85914499,C,-6.222008,106.868195
20103256,SMA Negeri 99,Jl. Cibubur II,Cibubur,Ciracas,718,62,"Drs.SUCIPTO,M.Si",021 8700979,A,-6.347387,106.873474
20103257,SMA Negeri 98,Jl. Jaha No.1,Kalisari,Pasar Rebo,992,56,HERMAN SYAFRI,"021 8714579, 021 8708519",A,-6.332400,106.857300
20103258,SMA Negeri 93,Jl. Raya Bogor Komplek Paspampres,Kampung Tengah,Kramat Jati,747,42,"Dra. Niken Irianti, M.Pd",021 8402939,A,-6.292188,106.867332
20103278,SMA Negeri 91,Jl. Lembah Lontar,Pondok Kelapa,Duren Sawit,426,52,Drs. DADANG HERMAWAN,021 8640063,A,-6.238631,106.932434
20103279,SMA Negeri 9,Jl. SMU Negeri 9,Kebon Pala,Makasar,745,49,"Dra. Hj. Animah, M.Pd",021 8005964,A,-6.258708,106.881409
20103280,SMA Negeri 36,Jl. Perhubungan Raya Rawamangun,Jati,Pulo Gadung,871,71,,021 4893358,A,-6.199171,106.899094
20103281,SMA Negeri 31,Jl. Kayu Manis Timur,Utan Kayu Selatan,Matraman,781,63,"Drs. Burhanuddin, M.Pd",021 8508665,A,-6.201973,106.864441
20103282,SMA Negeri 22,Jl. Kramat Asem,Utan Kayu Selatan,Matraman,359,48,"Dra Hj.SRI SARIWARNI, M.Pd.",021 8563352,A,-6.185611,106.870773
20103283,SMA Negeri 21,Jl. Tanah Mas Raya No. 1,Kayu Putih,Pulo Gadung,791,51,"Fatma Erlinda, S.Pd",021 4895164,A,-6.162401,106.889313
20103284,SMA Negeri 14,Jl. SMA Barat,Cililitan,Kramat Jati,754,55,"Dra. Dumaria Simanjuntak, M.Hum",021 8090296,A,-6.231347,106.864594
20103285,SMA Negeri 12,Jl. Pertanian,Klender,Duren Sawit,649,42,"Drs. Gunanto, M.Si",021 8615180,A,-6.214586,106.897964
20103286,SMA Negeri 113,"Jl. Albaidho I, Monumen Pancasila Sakti",Lubang Buaya,Cipayung,1037,59,"Drs. H. Syaiun Amin, MM",021 8408034,A,-6.292710,106.903008
20103287,SMA Negeri 11,"Jl. P. Komarudin I, Komp. Pendidikan",Pulo Gebang,Cakung,430,40,Dra. Sofiah Riski,021 4802080,A,-6.193462,106.950821
20103288,SMA Negeri 107,Jl. Rawa Badung,Jatinegara,Cakung,719,45,"Drs. Kristian M. Tambunan, S.Kom",021 4615738,A,-6.205728,106.925209
20103289,SMA Negeri 106,Jl. Gandaria I,Pekayon,Pasar Rebo,748,43,,021 8701692,A,-6.346350,106.860092
20103290,SMA Negeri 105,Jl. Usman,Kelapa Dua Wetan,Ciracas,495,49,"Drs. Imam Prasaja, M.Si.",021 8719206,A,-6.319393,106.883186
20103291,SMA Negeri 104,Jl. H. Taiman Barat,Gedong,Pasar Rebo,849,53,"M. Musyafa', S.Pd.I",021 87795101,A,-6.300600,106.862747
20103292,SMA Negeri 103,Jl. Mawar Merah Perumnas Klender,Duren Sawit,Duren Sawit,716,51,"NIYATA SIRAT, S.Pd",021 8622372,A,-6.212234,106.938118
20103293,SMA Negeri 102,Jl. Kayutinggi,Cakung Timur,Cakung,751,43,"RIDOAN, MM","021 4604674, 021 46827360",A,-6.167233,106.950645
20103294,SMA Negeri 100,Jl. Persatuan 2,Cipinang Besar Selatan,Jatinegara,642,48,"Drs. Mukmin Jauhari, M.Pd.",021 8500881,A,-6.229331,106.882317
20103295,SMA YP IPPI,Jl. Raya Penggilingan Komp. Aneka Elok,Penggilingan,Cakung,193,22,"Asmiliyah, Spd",021 48703207,A,-6.191480,106.934731
20103296,SMA Negeri 39,Jl. RA. Fadillah,Cijantung,Pasar Rebo,718,79,"HORALE TUA SIMANULLANG, SPd, MM",021 8400278,A,-6.315981,106.848534
20103297,SMA Negeri 42,Jl. Rajawali,Halim Perdana Kusumah,Makasar,855,53,"Drs. Sonny Juhersoni, M.Pd",021 8093926,A,-6.256190,106.892761
20103298,SMA Negeri 44,Jl. Delima IV Perum Klender,Malaka Sari,Duren Sawit,755,42,,021 8615286,A,-6.215306,106.926987
20103299,SMA Negeri 89,Jl. Kayu Tinggi,Cakung Timur,Cakung,557,46,RUDI GUNADI,021 4604602,A,-6.161718,106.944931
20103300,SMA Negeri 88,Jl. Sawo Indah,Baru,Pasar Rebo,572,46,"SUSILA HARTONO, M.Pd.",021 8701460,A,-6.327700,106.846878
20103301,SMA Negeri 81,Jl. Kartika Eka Paksi KPAD Jatiwaringin,Cipinang Melayu,Makasar,864,56,"Drs. SHOHIBUL BAKHRI, MM",021 8629940,A,-6.250331,106.917648
20103302,SMA Negeri 76,Jl. Tipar Cakung,Cakung Barat,Cakung,643,41,"Drs. H. Sukarmo, M.Pd",021 4602500,A,-6.140555,106.933258
20103303,SMA Negeri 71,Jl. H. Dogol Kav. TNI-AL Duren Sawit,Duren Sawit,Duren Sawit,653,50,"Hj. WILIN MURTANTI, M.Pd","021 8614112, 86612614",A,-6.221108,106.912659
20103304,SMA Negeri 67,Jl. Skadron Halim Perdanakusuma,Halim Perdana Kusumah,Makasar,851,49,"Drs. SUKAWI, M.Pd",021 8090386,A,-6.250459,106.882446
20103305,SMA Negeri 64,Jl. Raya Cipayung,Cipayung,Cipayung,752,58,"Drs. Sri Rejoko, M.Pd",021 8444750,A,-6.308474,106.889999
20103306,SMA Negeri 62,Jl. Raya Bogor Km. 20,Kramat Jati,Kramat Jati,540,39,Dra. Hj. ELIA ZULFA,021 8091745,A,-6.257967,106.865967
20103307,SMA Negeri 61,Jl. Taruna Pahlawan Revolusi,Pondok Bambu,Duren Sawit,647,35,"Drs. Danu, MM",021 8617255,A,-6.238375,106.896263
20103308,SMA Negeri 59,Jl. Bulak Timur I No.10-11,Klender,Duren Sawit,751,50,SRI RUKMINI SATITI,021 8614101,A,-6.216234,106.908142
20103309,SMA Negeri 58,Jl. Raya Ciracas No. 2,Ciracas,Ciracas,469,57,"Drs. UMARYADI, MM.",021 8710377,A,-6.277761,106.871460
20103310,SMA Negeri 54,Jl. Jatinegara Timur IV,Rawa Bunga,Jatinegara,862,53,"ACEP MAHMUDIN, S.Pd.",021 8194271,A,-6.220532,106.870834
20103311,SMA Negeri 53,Jl. Cipinang Jaya 2b,Cipinang Besar Selatan,Jatinegara,755,45,"Dra. Dumaria Simanjuntak,M.Hum",021 8194415,A,-6.220900,106.883194
20103312,SMA Negeri 51,Jl. Batu Ampar III,Batu Ampar,Kramat Jati,846,57,"Drs. Dudung Abdul Kodir, M.Si",021 8093125,A,-6.267011,106.863129
20103313,SMA Negeri 50,Jl. PLN CIPINANG MUARA 3,Cipinang Muara,Jatinegara,747,40,"MOCHAMAD ARIF NOORYANTO, S.Pd",021 8195639,A,-6.205749,106.906731
20103314,SMA Negeri 48,Jl. Pinang Ranti II No.1,Pinang Ranti,Makasar,860,57,"Acah Rianto, S.Pd",021 8006204,A,-6.286892,106.883018
20103316,SMA Bina Pangudi Luhur,Jl. Kramat Asem Raya No.54,Utan Kayu Selatan,Matraman,223,24,"Sukardi, SE, MM.",021 8563339,A,-6.203715,106.870918
20103403,SMA Bina Dharma,Jl. Raya Ciracas No. 39 Rt. 5/6,Ciracas,Ciracas,506,44,Dra. TRI WINARNI,021 8712207,A,-6.327591,106.884766
20103424,SMA Arena Siswa II,Jl. Kramat Asem Raya No.46,Utan Kayu Selatan,Matraman,9,12,,021 25999635,C,-6.204192,106.871925
20103425,SMA Angkasa 2,Jl. Avia Komp. Skadron,Halim Perdana Kusumah,Makasar,631,43,Drs. H. ABDUL MUKTI AS.MM,021 8001532,A,-6.263086,106.883583
20103426,SMA Angkasa I,Jl. Trikora Raya,Halim Perdana Kusumah,Makasar,354,34,Drs. H. Abdul Mukti AS.MM.,021 8001055,A,-6.265452,106.885635
20103427,SMA Al-Hikmah,Jl. Jati Barang V/40,Rawamangun,Pulo Gadung,32,17,"Nyayu Aneu Erliansyah,S.Pd","021 47862468, 021 4894071",B,-6.191792,106.900734
20103428,SMA Al- Ghurabaa,Jl. Tenggiri Raya No. 47,Rawamangun,Pulo Gadung,108,18,"Azwar Rasyidin, M. Pd.I.",021 47865205,B,-6.199204,106.891968
20103429,SMA Adi Luhur,Jl. Condet Raya No.4,Balekambang,Kramat Jati,119,22,Verawati. Ernana. S.Pd,021 87794330,A,-6.293026,106.855621
20103430,SMA PSKD 2,Jl. Slamet Riyadi No.3,Kebon Manggis,Matraman,72,23,DRA. ARI KRISTIANTINI,021 8580342,A,-6.211819,106.858765
20103431,SMA I Cawang Baru,Jl. Cawang Baru No. 543,Cipinang Cempedak,Jatinegara,370,24,"Dedi Sukmana Mulyadi, SH","021 8503121, 021 85916831",A,-6.242610,106.870361
20104405,SMA Al Kamal,Jl. Al.Kamal Kedoya No.2,Kedoya Selatan,Kebon Jeruk,148,18,"Dani, S.E, M.Pd",021 98566195,A,-6.179860,106.752342
20104407,SMA Bukit Sion,Jl. Taman Kebon Jeruk Blok GA 1,Srengseng,Kembangan,9,17,"Andy Koeswandy, S.SI., MA","021 58904181, 021 58904182, 021 58904183",A,-6.200121,106.744469
20104408,SMA Bina Bangsa School (Junior College School),Jl. Arjuna Selatan Kav. 87,Kebon Jeruk,Kebon Jeruk,108,1,Richard,021 5328833,A,,
20104409,SMA Cahaya Fadilah,Jl. Lingkar Luar Barat,Duri Kosambi,Cengkareng,133,19,"Muhammad Syahril, S.Pd","021 5449970, 021 92288463",B,-6.175328,106.718620
20104410,SMA Global Sevilla Puri Indah,Jl. Kembangan Raya Blok JJ No. 1,Kembangan Selatan,Kembangan,0,15,Stanislaus Ola,021 5806699,Tidak Terakreditasi,-6.177359,106.746117
